flightid,flight_code,seatsleft,flightfare,status,starttime,endtime
1,IGO101,20,3300.0,Not departed,2024-11-01 06:00:00,2024-11-01 08:00:00
2,IGO102,15,3100.0,Not departed,2024-11-01 07:00:00,2024-11-01 09:30:00
3,IGO103,18,3200.0,Not departed,2024-11-01 08:30:00,2024-11-01 10:30:00
4,IGO104,25,3500.0,Not departed,2024-11-01 09:00:00,2024-11-01 11:00:00
5,IGO105,17,2700.0,Not departed,2024-11-01 11:00:00,2024-11-01 13:00:00
6,IGO201,12,9800.0,Not departed,2024-11-01 14:00:00,2024-11-01 20:00:00
7,IGO202,20,11000.0,Not departed,2024-11-01 16:00:00,2024-11-01 22:30:00
8,IGO203,5,12000.0,Not departed,2024-11-01 18:00:00,2024-11-02 01:00:00
9,IGO204,28,13500.0,Not departed,2024-11-02 00:00:00,2024-11-02 06:00:00
10,IGO205,9,12500.0,Not departed,2024-11-02 04:00:00,2024-11-02 10:30:00
11,IGO106,10,3400.0,In air,2024-11-02 07:00:00,2024-11-02 09:00:00
12,IGO107,22,3200.0,Arrived,2024-11-02 09:30:00,2024-11-02 12:00:00
13,IGO206,6,9700.0,In air,2024-11-02 14:00:00,2024-11-02 19:30:00
14,IGO207,8,13000.0,Arrived,2024-11-02 16:00:00,2024-11-02 22:00:00
15,IGO108,23,3100.0,Not departed,2024-11-03 06:00:00,2024-11-03 08:30:00
16,IGO109,19,2900.0,Not departed,2024-11-03 07:30:00,2024-11-03 10:00:00
97,IGO198,11,3400.0,Not departed,2024-11-25 15:30:00,2024-11-25 18:00:00
98,IGO305,4,12500.0,In air,2024-11-25 17:30:00,2024-11-25 23:30:00
99,IGO306,8,11000.0,Arrived,2024-11-25 21:00:00,2024-11-26 02:00:00
100,IGO307,3,9500.0,In air,2024-11-26 03:00:00,2024-11-26 09:00:00
1001,IGO214,25,4500.0,Not departed,2024-11-05 09:00:00,2024-11-05 11:30:00
1002,IGO214,18,4500.0,Not departed,2024-11-06 09:00:00,2024-11-06 11:30:00
1003,IGO214,12,4500.0,In air,2024-11-07 09:00:00,2024-11-07 11:30:00
1004,IGO215,20,12500.0,Not departed,2024-11-08 07:30:00,2024-11-08 10:00:00
1005,IGO215,5,12500.0,Arrived,2024-11-09 07:30:00,2024-11-09 10:00:00
1006,IGO216,15,5000.0,Not departed,2024-11-10 14:00:00,2024-11-10 17:30:00
1007,IGO216,0,5000.0,Arrived,2024-11-11 14:00:00,2024-11-11 17:30:00
1008,IGO217,10,9000.0,Not departed,2024-11-12 06:30:00,2024-11-12 09:00:00
1009,IGO217,8,9000.0,Not departed,2024-11-13 11:30:00,2024-11-13 13:45:00
1010,IGO218,25,8000.0,Not departed,2024-11-14 16:00:00,2024-11-14 18:00:00
1011,IGO218,12,8000.0,Not departed,2024-11-15 05:45:00,2024-11-15 07:50:00
1012,IGO219,8,15500.0,In air,2024-11-16 20:00:00,2024-11-16 23:30:00
1013,IGO219,0,15500.0,Arrived,2024-11-17 20:00:00,2024-11-17 23:30:00
1014,IGO220,30,4500.0,Not departed,2024-11-18 12:00:00,2024-11-18 14:00:00
1015,IGO221,20,5600.0,Not departed,2024-11-19 09:30:00,2024-11-19 12:00:00
1016,IGO221,5,5600.0,Arrived,2024-11-20 09:30:00,2024-11-20 12:00:00
1017,IGO222,18,13500.0,Not departed,2024-11-21 11:00:00,2024-11-21 14:30:00
1018,IGO222,6,13500.0,Not departed,2024-11-22 11:00:00,2024-11-22 14:30:00
1019,IGO223,22,8000.0,Not departed,2024-11-23 05:00:00,2024-11-23 07:30:00
1020,IGO223,2,8000.0,Arrived,2024-11-24 05:00:00,2024-11-24 07:30:00
1021,IGO224,25,4600.0,Not departed,2024-11-25 06:00:00,2024-11-25 08:00:00
1022,IGO225,10,9100.0,In air,2024-11-26 17:30:00,2024-11-26 20:30:00
1023,IGO225,8,9100.0,Not departed,2024-11-27 19:00:00,2024-11-27 22:30:00
1024,IGO226,5,6400.0,Not departed,2024-11-28 10:30:00,2024-11-28 13:00:00
1025,IGO226,16,7500.0,Not departed,2024-11-29 04:30:00,2024-11-29 07:30:00
1026,IGO227,24,4900.0,Not departed,2024-11-30 08:00:00,2024-11-30 11:00:00
1027,IGO228,6,14500.0,Arrived,2024-12-01 15:00:00,2024-12-01 18:45:00
1028,IGO229,13,8600.0,Not departed,2024-12-02 12:15:00,2024-12-02 15:45:00
1029,IGO229,2,8600.0,In air,2024-12-03 18:30:00,2024-12-03 21:30:00
1030,IGO230,7,9500.0,Not departed,2024-12-04 14:30:00,2024-12-04 17:15:00
